udp.srcport,udp.dstport,tcp.srcport,tcp.dstport,tcp.ack,tcp.urgent_pointer,tcp.window_size_value,ip.len,ip.id,ip.tos,ip.src,ip.dst
0,0,443,50902,1526604654,0,2149,40,57327,0,91.105.192.100,10.98.14.135
0,0,50902,443,4053983954,0,512,40,21920,0,10.98.14.135,91.105.192.100
0,0,50902,443,4053983954,0,512,40,21921,0,10.98.14.135,91.105.192.100
0,0,50928,443,0,0,64240,52,21922,0,10.98.14.135,91.105.192.100
0,0,50929,80,0,0,64240,52,21923,0,10.98.14.135,91.105.192.100
0,0,443,50902,1526604655,0,2149,40,0,0,91.105.192.100,10.98.14.135
0,0,443,50928,3738432456,0,65535,52,0,0,91.105.192.100,10.98.14.135
0,0,50928,443,431241379,0,513,40,21924,0,10.98.14.135,91.105.192.100
0,0,50928,443,431241379,0,513,285,21925,0,10.98.14.135,91.105.192.100
0,0,80,50929,3956822829,0,65535,52,0,0,91.105.192.100,10.98.14.135
0,0,50929,80,2557670170,0,513,40,21926,0,10.98.14.135,91.105.192.100
0,0,50929,80,2557670170,0,513,267,21927,0,10.98.14.135,91.105.192.100
0,0,443,50928,3738432701,0,2082,241,15713,0,91.105.192.100,10.98.14.135
0,0,50929,80,2557670170,0,513,184,21928,0,10.98.14.135,91.105.192.100
0,0,50928,443,431241580,0,512,129,21929,0,10.98.14.135,91.105.192.100
0,0,80,50929,3956823201,0,2115,40,36789,0,91.105.192.100,10.98.14.135
0,0,443,50928,3738432790,0,2082,209,15714,0,91.105.192.100,10.98.14.135
137,137,0,0,0,0,0,78,42604,0,10.98.14.151,10.98.14.255
0,0,50928,443,431241749,0,511,40,21930,0,10.98.14.135,91.105.192.100
137,137,0,0,0,0,0,78,42605,0,10.98.14.151,10.98.14.255
52919,22222,0,0,0,0,0,56,16009,0,10.98.14.208,10.98.14.255
52924,22222,0,0,0,0,0,56,16010,0,10.98.14.208,10.98.14.255
10004,10004,0,0,0,0,0,111,26790,0,10.98.14.208,255.255.255.255
52929,3289,0,0,0,0,0,42,16011,0,10.98.14.208,10.98.14.255
0,0,52839,443,2936912130,0,509,41,39035,0,10.98.14.135,57.128.75.88
0,0,443,52839,1491622674,0,501,52,28603,0,57.128.75.88,10.98.14.135
0,0,50725,443,426447753,0,63772,117,56849,0,10.98.14.135,62.128.100.45
0,0,50725,443,426447753,0,63772,900,56850,0,10.98.14.135,62.128.100.45
0,0,443,50725,2894445444,0,63784,40,49692,0,62.128.100.45,10.98.14.135
0,0,443,50725,2894446304,0,63784,40,49693,0,62.128.100.45,10.98.14.135
0,0,443,50725,2894446304,0,63784,95,49694,0,62.128.100.45,10.98.14.135
0,0,443,50725,2894446304,0,63784,150,49695,0,62.128.100.45,10.98.14.135
0,0,443,50725,2894446304,0,63784,109,49696,0,62.128.100.45,10.98.14.135
0,0,50725,443,426447987,0,63538,40,56851,0,10.98.14.135,62.128.100.45
51972,1947,0,0,0,0,0,68,76,0,10.98.14.144,10.98.14.255
51973,1947,0,0,0,0,0,68,31439,0,10.98.14.144,255.255.255.255
49673,161,0,0,0,0,0,107,29849,0,10.98.14.135,10.98.12.5
49673,161,0,0,0,0,0,107,58759,0,10.98.14.135,10.98.12.7
161,49673,0,0,0,0,0,110,25939,0,10.98.12.7,10.98.14.135
161,49673,0,0,0,0,0,110,34880,0,10.98.12.5,10.98.14.135
52924,22222,0,0,0,0,0,56,16012,0,10.98.14.208,10.98.14.255
52929,3289,0,0,0,0,0,42,16013,0,10.98.14.208,10.98.14.255
52919,22222,0,0,0,0,0,56,16014,0,10.98.14.208,10.98.14.255
10004,10004,0,0,0,0,0,111,26791,0,10.98.14.208,255.255.255.255
49673,161,0,0,0,0,0,71,9132,0,10.98.14.135,192.168.88.251
0,0,0,0,0,0,0,99,56423,192,10.0.0.7,10.98.14.135
56201,1947,0,0,0,0,0,68,40894,0,10.98.14.193,10.98.14.255
0,0,80,56886,4249874887,0,26280,274,6420,0,91.105.192.100,10.98.14.135
0,0,56886,80,3516266034,0,1641,266,21931,0,10.98.14.135,91.105.192.100
0,0,80,56886,4249875113,0,26280,40,6421,0,91.105.192.100,10.98.14.135
0,0,56886,80,3516266034,0,1641,128,21932,0,10.98.14.135,91.105.192.100
0,0,80,56886,4249875201,0,26280,40,6422,0,91.105.192.100,10.98.14.135
49673,161,0,0,0,0,0,71,9133,0,10.98.14.135,192.168.88.251
0,0,0,0,0,0,0,99,56708,192,10.0.0.7,10.98.14.135
137,137,0,0,0,0,0,78,16015,0,10.98.14.208,10.98.14.255
